"NIS5","TX_DESCR_NL","TX_DESCR_FR","TX_ADM_DSTR_DESCR_NL","TX_ADM_DSTR_DESCR_FR","TX_PROV_DESCR_NL","TX_PROV_DESCR_FR","TX_RGN_DESCR_NL","TX_RGN_DESCR_FR","CASES"
"12026","Nijlen","Nijlen","Arrondissement Mechelen","Arrondissement de Malines","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","169"
"12029","Putte","Putte","Arrondissement Mechelen","Arrondissement de Malines","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","45"
"12035","Sint-Katelijne-Waver","Sint-Katelijne-Waver","Arrondissement Mechelen","Arrondissement de Malines","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","172"
"12040","Willebroek","Willebroek","Arrondissement Mechelen","Arrondissement de Malines","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","215"
"12041","Puurs-Sint-Amands","Puurs-Sint-Amands","Arrondissement Mechelen","Arrondissement de Malines","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","218"
"13001","Arendonk","Arendonk","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","72"
"13002","Baarle-Hertog","Baerle-Duc","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","19"
"13003","Balen","Balen","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","93"
"13004","Beerse","Beerse","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","95"
"13006","Dessel","Dessel","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","27"
"13008","Geel","Geel","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","222"
"13010","Grobbendonk","Grobbendonk","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","72"
"13011","Herentals","Herentals","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","163"
"13012","Herenthout","Herenthout","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","34"
"13013","Herselt","Herselt","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","103"
"13014","Hoogstraten","Hoogstraten","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","120"
"13016","Hulshout","Hulshout","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","42"
"13017","Kasterlee","Kasterlee","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","99"
"13019","Lille","Lille","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","141"
"13021","Meerhout","Meerhout","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","68"
"13023","Merksplas","Merksplas","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","60"
"13025","Mol","Mol","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","161"
"13029","Olen","Olen","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","76"
"13031","Oud-Turnhout","Oud-Turnhout","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","143"
"13035","Ravels","Ravels","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","158"
"13036","Retie","Retie","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","48"
"13037","Rijkevorsel","Rijkevorsel","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","52"
"13040","Turnhout","Turnhout","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","284"
"13044","Vorselaar","Vorselaar","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","47"
"13046","Vosselaar","Vosselaar","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","63"
"13049","Westerlo","Westerlo","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","130"
"13053","Laakdal","Laakdal","Arrondissement Turnhout","Arrondissement de Turnhout","Provincie Antwerpen","Province d’Anvers","Vlaams Gewest","Région flamande","103"
"21001","Anderlecht","Anderlecht","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","1582"
"21002","Oudergem","Auderghem","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","242"
"21003","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","341"
"21004","Brussel","Bruxelles","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","2028"
"21005","Etterbeek","Etterbeek","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","375"
"21006","Evere","Evere","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","478"
"21007","Vorst (Brussel-Hoofdstad)","Forest (Bruxelles-Capitale)","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","616"
"21008","Ganshoren","Ganshoren","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","264"
"21009","Elsene","Ixelles","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","778"
"21010","Jette","Jette","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","609"
"21011","Koekelberg","Koekelberg","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","231"
"21012","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","1217"
"21013","Sint-Gillis","Saint-Gilles","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","533"
"21014","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","340"
"21015","Schaarbeek","Schaerbeek","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","1355"
"21016","Ukkel","Uccle","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","728"
"21017","Watermaal-Bosvoorde","Watermael-Boitsfort","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","190"
"21018","Sint-Lambrechts-Woluwe","Woluwe-Saint-Lambert","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","456"
"21019","Sint-Pieters-Woluwe","Woluwe-Saint-Pierre","Arrondissement Brussel-Hoofdstad","Arrondissement de Bruxelles-Capitale",NA,NA,"Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","291"
"23002","Asse","Asse","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","280"
"23003","Beersel","Beersel","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","148"
"23009","Bever","Biévène","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","10"
"23016","Dilbeek","Dilbeek","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","371"
"23023","Galmaarden","Gammerages","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","47"
"23024","Gooik","Gooik","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","40"
"23025","Grimbergen","Grimbergen","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","367"
"23027","Halle (Halle-Vilvoorde)","Hal (Hal-Vilvorde)","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","285"
"23032","Herne","Herne","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","24"
"23033","Hoeilaart","Hoeilaart","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","54"
"23038","Kampenhout","Kampenhout","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","61"
"23039","Kapelle-op-den-Bos","Kapelle-op-den-Bos","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","150"
"23044","Liedekerke","Liedekerke","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","76"
"23045","Londerzeel","Londerzeel","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","127"
"23047","Machelen (Halle-Vilvoorde)","Machelen (Hal-Vilvorde)","Arrondissement Halle-Vilvoorde","Arrondissement de Hal-Vilvorde","Provincie Vlaams-Brabant","Province du Brabant flamand","Vlaams Gewest","Région flamande","149"
