NIS code;Woonplaats;Mannen;Vrouwen;Totaal
92048;Fosses-la-Ville;5.210;5.259;10.469
92054;Gesves;3.595;3.613;7.208
92087;Mettet;6.462;6.691;13.153
92094;Namen;53.908;57.524;111.432
92097;Ohey;2.575;2.567;5.142
92101;Profondeville;5.987;6.189;12.176
92114;Sombreffe;4.203;4.277;8.480
92137;Sambreville;13.671;14.701;28.372
92138;Fernelmont;3.995;4.072;8.067
92140;Jemeppe-sur-Sambre;9.440;9.660;19.100
92141;La Bruyère;4.486;4.746;9.232
92142;Gembloux;12.934;13.207;26.141
93000;Arrondissement Philippeville;32.656;33.659;66.315
93010;Cerfontaine;2.488;2.499;4.987
93014;Couvin;6.754;7.084;13.838
93018;Doische;1.453;1.517;2.970
93022;Florennes;5.556;5.710;11.266
93056;Philippeville;4.567;4.634;9.201
93088;Walcourt;9.052;9.355;18.407
93090;Viroinval;2.786;2.860;5.646
;;;;
Bron: Statbel (Algemene Directie Statistiek – Statistics Belgium );;;;
Source: Statbel (Direction générale Statistique – Statistics Belgium );;;;
Source: Statbel (Directorate-general Statistics – Statistics Belgium );;;;

