NIS code;Woonplaats;Mannen;Vrouwen;Totaal
24008;Bekkevoort;3.227;3.105;6.332
24009;Bertem;4.993;5.148;10.141
24011;Bierbeek;5.064;5.098;10.162
24014;Boortmeerbeek;6.249;6.380;12.629
24016;Boutersem;4.080;4.162;8.242
24020;Diest;11.935;12.299;24.234
24028;Geetbets;3.074;3.062;6.136
24033;Haacht;7.299;7.555;14.854
24038;Herent;10.675;11.245;21.920
24041;Hoegaarden;3.452;3.411;6.863
24043;Holsbeek;5.002;5.060;10.062
24045;Huldenberg;4.913;5.030;9.943
24048;Keerbergen;6.331;6.623;12.954
24054;Kortenaken;3.943;3.949;7.892
24055;Kortenberg;9.977;10.312;20.289
24059;Landen;7.875;8.221;16.096
24062;Leuven;51.326;50.949;102.275
24066;Lubbeek;7.244;7.312;14.556
24086;Oud-Heverlee;5.517;5.571;11.088
24094;Rotselaar;8.449;8.575;17.024
24104;Tervuren;11.050;11.658;22.708
24107;Tienen;17.076;18.217;35.293
24109;Tremelo;7.418;7.499;14.917
24130;Zoutleeuw;4.218;4.357;8.575
24133;Linter;3.615;3.656;7.271
24134;Scherpenheuvel-Zichem;11.416;11.662;23.078
24135;Tielt-Winge;5.389;5.394;10.783
24137;Glabbeek;2.625;2.696;5.321
25000;Arrondissement Nijvel;197.034;208.985;406.019
25005;Bevekom;3.556;3.649;7.205
25014;Eigenbrakel;19.334;20.836;40.170
25015;Kasteelbrakel;5.117;5.431;10.548
25018;Chaumont-Gistoux;5.694;5.937;11.631
25023;Court-Saint-Etienne;5.189;5.400;10.589
25031;Genepiën;7.662;7.898;15.560
25037;Graven;6.793;7.080;13.873
25043;Incourt;2.708;2.814;5.522
25044;Itter;3.395;3.562;6.957
25048;Geldenaken;7.028;7.329;14.357
25050;Terhulpen;3.565;3.877;7.442
25068;Mont-Saint-Guibert;3.905;3.991;7.896
25072;Nijvel;13.671;15.212;28.883
25084;Perwijs (Nijvel);4.601;4.860;9.461
25091;Rixensart;10.789;11.864;22.653
25105;Tubeke;13.006;13.650;26.656
25107;Villers-la-Ville;5.348;5.420;10.768
25110;Waterloo;14.441;15.935;30.376
25112;Waver;16.658;18.090;34.748
25117;Chastre;3.805;3.880;7.685
25118;Hélécine;1.811;1.833;3.644
25119;Lasne;6.967;7.290;14.257
25120;Orp-Jauche;4.412;4.569;8.981
25121;Ottignies-Louvain-la-Neuve;15.232;16.084;31.316
25122;Ramillies;3.266;3.282;6.548
25123;Rebecq;5.418;5.516;10.934
25124;Walhain;3.663;3.696;7.359
30000;Provincie West-Vlaanderen;595.359;605.586;1.200.945
31000;Arrondissement Brugge;139.169;143.576;282.745
31003;Beernem;8.040;7.777;15.817
31004;Blankenberge;10.106;10.357;20.463
31005;Brugge;57.851;60.805;118.656
31006;Damme;5.493;5.526;11.019
31012;Jabbeke;6.894;6.974;13.868
31022;Oostkamp;11.822;11.983;23.805
31033;Torhout;10.248;10.219;20.467
31040;Zedelgem;11.418;11.434;22.852
31042;Zuienkerke;1.366;1.343;2.709
31043;Knokke-Heist;15.931;17.158;33.089
32000;Arrondissement Diksmuide;25.843;25.853;51.696
32003;Diksmuide;8.416;8.427;16.843
32006;Houthulst;5.067;5.043;10.110
32010;Koekelare;4.363;4.397;8.760
32011;Kortemark;6.343;6.350;12.693
32030;Lo-Reninge;1.654;1.636;3.290
33000;Arrondissement Ieper;53.235;53.335;106.570
33011;Ieper;17.218;17.777;34.995
33016;Mesen;520;527;1.047
33021;Poperinge;9.786;9.931;19.717
33029;Wervik;9.495;9.414;18.909
33037;Zonnebeke;6.287;6.211;12.498
33039;Heuvelland;4.075;3.851;7.926
33040;Langemark-Poelkapelle;3.991;3.834;7.825
33041;Vleteren;1.863;1.790;3.653
34000;Arrondissement Kortrijk;144.761;147.732;292.493
34002;Anzegem;7.426;7.355;14.781
34003;Avelgem;5.035;5.171;10.206
34009;Deerlijk;5.955;6.123;12.078
34013;Harelbeke;14.281;14.221;28.502
34022;Kortrijk;38.035;39.074;77.109
34023;Kuurne;6.744;6.932;13.676
34025;Lendelede;2.867;2.920;5.787
34027;Menen;16.604;16.936;33.540
34040;Waregem;18.897;19.453;38.350
34041;Wevelgem;15.593;15.986;31.579
34042;Zwevegem;12.320;12.494;24.814
34043;Spiere-Helkijn;1.004;1.067;2.071
35000;Arrondissement Oostende;77.908;79.872;157.780
35002;Bredene;9.035;9.106;18.141
35005;Gistel;6.046;6.120;12.166
35006;Ichtegem;7.037;7.004;14.041
35011;Middelkerke;9.727;9.851;19.578
35013;Oostende;35.120;36.527;71.647
35014;Oudenburg;4.744;4.763;9.507
35029;De Haan;6.199;6.501;12.700
36000;Arrondissement Roeselare;76.946;77.548;154.494
36006;Hooglede;5.046;4.927;9.973
36007;Ingelmunster;5.503;5.628;11.131
36008;Izegem;13.918;14.404;28.322
36010;Ledegem;4.822;4.865;9.687
36011;Lichtervelde;4.516;4.427;8.943
36012;Moorslede;5.681;5.761;11.442
36015;Roeselare;31.668;31.810;63.478
36019;Staden;5.792;5.726;11.518
37000;Arrondissement Tielt;46.964;46.464;93.428
37002;Dentergem;4.333;4.279;8.612
37007;Meulebeke;5.450;5.383;10.833
37010;Oostrozebeke;3.955;4.001;7.956
37011;Pittem;3.397;3.320;6.717
37012;Ruiselede;2.692;2.676;5.368
37015;Tielt (Tielt);10.308;10.295;20.603
37017;Wielsbeke;4.969;4.864;9.833
37018;Wingene;7.329;7.100;14.429
37020;Ardooie;4.531;4.546;9.077
38000;Arrondissement Veurne;30.533;31.206;61.739
38002;Alveringem;2.582;2.411;4.993
38008;De Panne;5.501;5.646;11.147
38014;Koksijde;10.764;11.105;21.869
38016;Nieuwpoort;5.732;5.904;11.636
38025;Veurne;5.954;6.140;12.094
40000;Provincie Oost-Vlaanderen;753.499;771.756;1.525.255
41000;Arrondissement Aalst;144.327;149.323;293.650
41002;Aalst (Aalst);42.903;44.429;87.332
41011;Denderleeuw;10.092;10.459;20.551
41018;Geraardsbergen;16.575;17.074;33.649
41024;Haaltert;9.154;9.428;18.582
41027;Herzele;8.996;9.191;18.187
41034;Lede;9.320;9.546;18.866
41048;Ninove;19.231;20.020;39.251
41063;Sint-Lievens-Houtem;5.151;5.249;10.400
41081;Zottegem;12.949;13.737;26.686
41082;Erpe-Mere;9.956;10.190;20.146
42000;Arrondissement Dendermonde;99.678;102.733;202.411
42003;Berlare;7.427;7.666;15.093
42004;Buggenhout;7.245;7.417;14.662
42006;Dendermonde;22.402;23.468;45.870
42008;Hamme (Dendermonde);12.318;12.628;24.946
42010;Laarne;6.104;6.257;12.361
42011;Lebbeke;9.630;9.908;19.538
42023;Waasmunster;5.472;5.461;10.933
42025;Wetteren;12.738;13.283;26.021
42026;Wichelen;5.751;5.898;11.649
42028;Zele;10.591;10.747;21.338
43000;Arrondissement Eeklo;42.716;42.976;85.692
43002;Assenede;7.065;7.231;14.296
43005;Eeklo;10.486;10.799;21.285
43007;Kaprijke;3.193;3.243;6.436
43010;Maldegem;11.982;11.976;23.958
