city,nis,date,delta,total
Aartselaar,11001,2020-08-20,1,163
Aartselaar,11001,2020-08-21,1,164
Aartselaar,11001,2020-08-22,1,165
Aartselaar,11001,2020-08-23,1,166
Aartselaar,11001,2020-08-24,4,170
Aartselaar,11001,2020-08-25,0,170
Aartselaar,11001,2020-08-26,1,171
Aartselaar,11001,2020-08-27,0,171
Aartselaar,11001,2020-08-28,1,172
Aartselaar,11001,2020-08-29,2,174
Aartselaar,11001,2020-08-30,1,175
Aartselaar,11001,2020-08-31,2,177
Aartselaar,11001,2020-09-01,0,177
Aartselaar,11001,2020-09-02,1,178
Aartselaar,11001,2020-09-03,0,178
Aartselaar,11001,2020-09-04,1,179
Aartselaar,11001,2020-09-05,0,179
Aartselaar,11001,2020-09-06,1,180
Aartselaar,11001,2020-09-07,1,181
Aartselaar,11001,2020-09-08,0,181
Aartselaar,11001,2020-09-09,1,182
Aartselaar,11001,2020-09-10,1,183
Aartselaar,11001,2020-09-11,2,185
Aartselaar,11001,2020-09-12,0,185
Aartselaar,11001,2020-09-13,2,187
Aartselaar,11001,2020-09-14,2,189
Aartselaar,11001,2020-09-15,2,191
Aartselaar,11001,2020-09-16,1,192
Aartselaar,11001,2020-09-17,1,193
Aartselaar,11001,2020-09-18,3,196
Aartselaar,11001,2020-09-19,3,199
Aartselaar,11001,2020-09-20,-1,198
Aartselaar,11001,2020-09-21,3,201
Aartselaar,11001,2020-09-22,1,202
Aartselaar,11001,2020-09-23,1,203
Aartselaar,11001,2020-09-24,2,205
Aartselaar,11001,2020-09-25,3,208
Aartselaar,11001,2020-09-26,2,210
Aartselaar,11001,2020-09-27,4,214
Aartselaar,11001,2020-09-28,1,215
Aartselaar,11001,2020-09-29,5,220
Aartselaar,11001,2020-09-30,2,222
Aartselaar,11001,2020-10-01,1,223
Aartselaar,11001,2020-10-02,5,228
Aartselaar,11001,2020-10-03,2,230
Aartselaar,11001,2020-10-04,1,231
Aartselaar,11001,2020-10-05,0,231
Aartselaar,11001,2020-10-06,1,232
Aartselaar,11001,2020-10-07,2,234
Aartselaar,11001,2020-10-08,3,237
Aartselaar,11001,2020-10-09,4,241
Aartselaar,11001,2020-10-10,4,245
Aartselaar,11001,2020-10-11,10,255
Aartselaar,11001,2020-10-12,5,260
Aartselaar,11001,2020-10-13,3,263
Aartselaar,11001,2020-10-14,7,270
Aartselaar,11001,2020-10-15,5,275
Aartselaar,11001,2020-10-16,10,285
Aartselaar,11001,2020-10-17,7,292
Aartselaar,11001,2020-10-18,11,303
Aartselaar,11001,2020-10-19,3,306
Aartselaar,11001,2020-10-20,4,310
Aartselaar,11001,2020-10-21,7,317
Aartselaar,11001,2020-10-22,5,322
Aartselaar,11001,2020-10-23,2,324
Aartselaar,11001,2020-10-24,7,331
Aartselaar,11001,2020-10-25,7,338
Aartselaar,11001,2020-10-26,9,347
Aartselaar,11001,2020-10-27,16,363
Aartselaar,11001,2020-10-28,15,378
Aartselaar,11001,2020-10-29,18,396
Aartselaar,11001,2020-10-30,14,410
Aartselaar,11001,2020-10-31,17,427
Aartselaar,11001,2020-11-01,12,439
Aartselaar,11001,2020-11-02,4,443
Aartselaar,11001,2020-11-03,8,451
Aartselaar,11001,2020-11-04,5,456
Aartselaar,11001,2020-11-05,10,466
Aartselaar,11001,2020-11-06,7,473
Aartselaar,11001,2020-11-07,5,478
Aartselaar,11001,2020-11-08,6,484
Aartselaar,11001,2020-11-09,12,496
Aartselaar,11001,2020-11-10,3,499
Aartselaar,11001,2020-11-11,3,502
Antwerpen,11002,2020-04-01,52,530
Antwerpen,11002,2020-04-02,62,592
Antwerpen,11002,2020-04-03,31,623
Antwerpen,11002,2020-04-04,55,678
Antwerpen,11002,2020-04-05,57,735
Antwerpen,11002,2020-04-06,61,796
Antwerpen,11002,2020-04-07,39,835
Antwerpen,11002,2020-04-08,31,866
Antwerpen,11002,2020-04-09,61,927
Antwerpen,11002,2020-04-10,61,988
Antwerpen,11002,2020-04-11,44,1032
Antwerpen,11002,2020-04-12,32,1064
Antwerpen,11002,2020-04-13,23,1087
Antwerpen,11002,2020-04-14,12,1099
Antwerpen,11002,2020-04-15,94,1193
Antwerpen,11002,2020-04-16,25,1218
Antwerpen,11002,2020-04-17,41,1259
Antwerpen,11002,2020-04-18,54,1313
Antwerpen,11002,2020-04-19,36,1349
Antwerpen,11002,2020-04-20,26,1375
Antwerpen,11002,2020-04-21,34,1409
Antwerpen,11002,2020-04-22,19,1428
Antwerpen,11002,2020-04-23,45,1473
Antwerpen,11002,2020-04-24,91,1564
Antwerpen,11002,2020-04-25,54,1618
Antwerpen,11002,2020-04-26,46,1664
Antwerpen,11002,2020-04-27,19,1683
Antwerpen,11002,2020-04-28,16,1699
Antwerpen,11002,2020-04-29,26,1725
Antwerpen,11002,2020-04-30,32,1757
Antwerpen,11002,2020-05-01,51,1808
Antwerpen,11002,2020-05-02,67,1875
Antwerpen,11002,2020-05-03,25,1900
Antwerpen,11002,2020-05-04,47,1947
Antwerpen,11002,2020-05-05,15,1962
Antwerpen,11002,2020-05-06,15,1977
Antwerpen,11002,2020-05-07,33,2010
Antwerpen,11002,2020-05-08,52,2062
Antwerpen,11002,2020-05-09,27,2089
Antwerpen,11002,2020-05-10,30,2119
Antwerpen,11002,2020-05-11,20,2139
Antwerpen,11002,2020-05-12,16,2155
Antwerpen,11002,2020-05-13,14,2169
Antwerpen,11002,2020-05-14,17,2186
Antwerpen,11002,2020-05-15,34,2220
Antwerpen,11002,2020-05-16,10,2230
Antwerpen,11002,2020-05-17,25,2255
Antwerpen,11002,2020-05-18,18,2273
Antwerpen,11002,2020-05-19,8,2281
Antwerpen,11002,2020-05-20,8,2289
Antwerpen,11002,2020-05-21,21,2310
Antwerpen,11002,2020-05-22,9,2319
Antwerpen,11002,2020-05-23,11,2330
Antwerpen,11002,2020-05-24,10,2340
Antwerpen,11002,2020-05-25,17,2357
Antwerpen,11002,2020-05-26,9,2366
Antwerpen,11002,2020-05-27,12,2378
Antwerpen,11002,2020-05-28,14,2392
Antwerpen,11002,2020-05-29,7,2399
Antwerpen,11002,2020-05-30,5,2404
Antwerpen,11002,2020-05-31,14,2418
Antwerpen,11002,2020-06-01,13,2431
Antwerpen,11002,2020-06-02,7,2438
Antwerpen,11002,2020-06-03,6,2444
Antwerpen,11002,2020-06-04,7,2451
Antwerpen,11002,2020-06-05,12,2463
Antwerpen,11002,2020-06-06,21,2484
Antwerpen,11002,2020-06-07,15,2499
Antwerpen,11002,2020-06-08,7,2506
Antwerpen,11002,2020-06-09,2,2508
Antwerpen,11002,2020-06-10,10,2518
Antwerpen,11002,2020-06-11,10,2528
Antwerpen,11002,2020-06-12,6,2534
Antwerpen,11002,2020-06-13,5,2539
Antwerpen,11002,2020-06-14,9,2548
Antwerpen,11002,2020-06-15,8,2556
Antwerpen,11002,2020-06-16,2,2558
Antwerpen,11002,2020-06-17,4,2562
Antwerpen,11002,2020-06-18,6,2568
