NIS code,Woonplaats,Mannen,Vrouwen,Totaal
24130,Zoutleeuw,4218,4357,8575
24133,Linter,3615,3656,7271
24134,Scherpenheuvel-Zichem,11416,11662,23078
24135,Tielt-Winge,5389,5394,10783
24137,Glabbeek,2625,2696,5321
25000,Arrondissement Nijvel,197034,208985,406019
25005,Bevekom,3556,3649,7205
25014,Eigenbrakel,19334,20836,40170
25015,Kasteelbrakel,5117,5431,10548
25018,Chaumont-Gistoux,5694,5937,11631
25023,Court-Saint-Etienne,5189,5400,10589
25031,Genepiën,7662,7898,15560
25037,Graven,6793,7080,13873
25043,Incourt,2708,2814,5522
25044,Itter,3395,3562,6957
25048,Geldenaken,7028,7329,14357
25050,Terhulpen,3565,3877,7442
25068,Mont-Saint-Guibert,3905,3991,7896
25072,Nijvel,13671,15212,28883
25084,Perwijs (Nijvel),4601,4860,9461
25091,Rixensart,10789,11864,22653
25105,Tubeke,13006,13650,26656
25107,Villers-la-Ville,5348,5420,10768
25110,Waterloo,14441,15935,30376
25112,Waver,16658,18090,34748
25117,Chastre,3805,3880,7685
25118,Hélécine,1811,1833,3644
25119,Lasne,6967,7290,14257
25120,Orp-Jauche,4412,4569,8981
25121,Ottignies-Louvain-la-Neuve,15232,16084,31316
25122,Ramillies,3266,3282,6548
25123,Rebecq,5418,5516,10934
25124,Walhain,3663,3696,7359
